Organization/Person Name,Number of Investments,Number of Exits
Fidelity International,39,15
Heliad Equity Partners,39,8
European Investment Fund,39,5
Blue Wire Capital,39,4
Illusian Founder Office,39,1
Karma Ventures,39,4
Quantonation,39,1
Re-Pie Asset Management,39,3
G1 Ventures,39,1
Longwall Venture,39,
1818 Venture Capital,39,5
UCLB,39,13
Arts Alliance,39,9
CEA Investissement,39,8
IDC Ventures,39,2
Carlson ASI EVIG Alfa VC Fund,39,
Bonsai Venture Capital SCR,39,9
SFPI-FPIM,39,4
New Business Venture Fund,39,3
Eyrir Venture Management,39,1
Renaissance Capital Partners,39,5
Co-FundNI,39,4
Fraunhofer Venture,39,5
Sciety,38,9
OTB Ventures,38,2
IW Capital,38,1
Übermorgen Ventures,38,
Nordic Makers,38,4
Endeavour Ventures,38,7
Velo Partners,38,6
Beyond Impact,38,3
ProVenture,38,8
SIDE Capital,38,3
Xevin Investments,38,4
Vertical.vc,38,1
Braveheart Investment Group,38,6
Expansion Capital,38,1
Quan Technology Fund,38,9
UCL Technology Fund,38,6
noa,37,1
finleap,37,8
octopus investments,37,15
V-Bio Ventures,37,1
Public,37,2
EquityPitcher Ventures,37,1
Mercuri,37,
Schroder Ventures,37,19
bValue Fund,37,6
Inventages Venture Capital Investment Inc.,37,2
Vitosha Venture Partners,37,
Join Capital,37,5
Milano Investment Partners SGR,37,
Growth Engine,37,3
Overkill Ventures,37,2
HardGamma Ventures,37,4
CB Investment Management,37,
CoinShares,36,1
Antai Ventures,36,4
Polymorphic Capital,36,
Dreamcraft Ventures,36,2
Santander UK,36,4
Frumtak Ventures,36,2
Outward VC,36,3
UNIQA Ventures,36,7
LeanSquare,36,1
SHS Capital,36,6
SMRK VC Fund,36,2
AirAngels,36,1
BitStone Capital,36,4
Agronomics,36,1
OCCIDENT,36,3
Phystech Ventures,36,8
Tet Ventures,36,2
U-Start,36,4
French Partners,36,4
QUBIS,36,6
WING by Digital Wallonia,36,6
Freigeist Capital,36,7
EBRD Venture Capital,35,10
Portfolio Ventures,35,1
Unbound,35,3
British Design Fund,35,
Invest Northern Ireland,35,7
Founders,35,2
PDENH,35,1
RI Digital Ventures,35,12
LEA Partners,35,5
FinLab,35,8
SODICAL,35,
Marathon Venture Capital,35,4
Indaco Venture Partners,35,3
Evonik Venture Capital,35,3
BitScale,35,
TempoCap,35,15
North East Growth Capital Fund,35,
Jaina Capital,35,12
Normandie Participations,35,1
Karatage,34,1
Auxxo,34,
Neva SGR,34,3
MSM,34,2
Finovam Gestion,34,
RockawayX,34,
