Organization/Person Name,Number of Investments,Number of Exits,Region,Score
Glade Brook Capital Partners,45,15.0,US,75.0
Fusion,74,5.0,US,84.0
Graph Ventures,163,29.0,US,221.0
ACME Capital,197,63.0,US,323.0
Konvoy,53,3.0,US,59.0
SciFi VC,64,3.0,US,70.0
Cathay Innovation,134,12.0,US,158.0
TCG,119,25.0,US,169.0
Forgepoint Capital,68,16.0,US,100.0
gumi Cryptos Capital (gCC),84,,US,
Service Provider Capital,224,57.0,US,338.0
Hike Ventures,43,2.0,US,47.0
Sageview Capital,48,13.0,US,74.0
Gradient,244,26.0,US,296.0
Atlas Venture,611,188.0,US,987.0
Better Capital,163,6.0,US,175.0
Arthur Ventures,86,16.0,US,118.0
Acumen,135,4.0,US,143.0
Cervin Ventures,84,14.0,US,112.0
Prelude Ventures,148,14.0,US,176.0
LiveOak Ventures,120,17.0,US,154.0
Casdin Capital,228,74.0,US,376.0
Moneta Ventures,48,4.0,US,56.0
Alzheimer's Drug Discovery Foundation,47,8.0,US,63.0
Jump Capital,164,35.0,US,234.0
Blackhorn Ventures,91,7.0,US,105.0
Aliment Capital,39,4.0,US,47.0
Script Capital,51,9.0,US,69.0
Shrug Capital,99,9.0,US,117.0
Hyphen Capital,79,4.0,US,87.0
Route 66 Ventures,82,15.0,US,112.0
G Squared,104,32.0,US,168.0
Kickstart,237,32.0,US,301.0
Strong Ventures,300,6.0,US,312.0
Breyer Capital,170,15.0,US,200.0
Transcend Fund,33,2.0,US,37.0
TruStage Ventures,36,4.0,US,44.0
Wireframe Ventures,47,2.0,US,51.0
VMG Partners,50,7.0,US,64.0
Foundry Group,361,82.0,US,525.0
Green Sands Equity,33,8.0,US,49.0
Necessary Ventures,36,3.0,US,42.0
Agent Capital,47,11.0,US,69.0
boldstart ventures,200,31.0,US,262.0
Precursor Ventures,433,43.0,US,519.0
LEAD,39,1.0,US,41.0
Sorenson Capital,87,27.0,US,141.0
Section 32,121,21.0,US,163.0
Neotribe Ventures,71,8.0,US,87.0
Northpond Ventures,119,16.0,US,151.0
K1 Investment Management,71,23.0,US,117.0
9Yards Capital,106,8.0,US,122.0
Left Lane Capital,101,3.0,US,107.0
Tekton Ventures,117,19.0,US,155.0
Threshold,155,20.0,US,195.0
Maverick Ventures,193,39.0,US,271.0
Converge,46,10.0,US,66.0
At One Ventures,51,,US,
Tuesday Capital,315,102.0,US,519.0
Amity Ventures,48,5.0,US,58.0
EcoR1 Capital,124,76.0,US,276.0
Mucker Capital,276,19.0,US,314.0
Engineering Capital,72,9.0,US,90.0
SNZ Holding,94,1.0,US,96.0
PeakSpan Capital,54,8.0,US,70.0
G2 Venture Partners,46,5.0,US,56.0
Scout Ventures,121,27.0,US,175.0
Highland Capital Partners,503,149.0,US,801.0
Tola Capital,69,16.0,US,101.0
Manhattan Venture Partners (MVP),66,23.0,US,112.0
Jackson Square Ventures,94,18.0,US,130.0
Primitive Ventures,30,,US,
Carya Venture Partners,30,,US,
TDF Ventures,114,28.0,US,170.0
Activant Capital,74,9.0,US,92.0
Cross Creek,79,43.0,US,165.0
Counterview Capital,39,10.0,US,59.0
The Engine,76,1.0,US,78.0
Collaborative Fund,338,59.0,US,456.0
Allen & Company,178,68.0,US,314.0
Contour Venture Partners,182,28.0,US,238.0
FinTech Collective,127,12.0,US,151.0
Moment Ventures,49,10.0,US,69.0
Inflection.xyz,38,,US,
Longwood Fund,62,16.0,US,94.0
Homebrew,207,41.0,US,289.0
Springbank Collective,36,3.0,US,42.0
Industry Ventures,197,40.0,US,277.0
DeepWork Capital,73,6.0,US,85.0
Altos Ventures,361,43.0,US,447.0
The Argentum Group,46,16.0,US,78.0
Golden Seeds,115,14.0,US,143.0
Firestreak Ventures,49,,US,
Firsthand.vc,48,,US,
Progression Fund,38,3.0,US,44.0
Link Ventures,48,5.0,US,58.0
Equal Ventures,31,,US,
Accion Venture Lab,109,8.0,US,125.0
FUSE,41,1.0,US,43.0
Inventus Capital Partners,57,16.0,US,89.0
Perot Jain,43,4.0,US,51.0
Activate Capital Partners,33,4.0,US,41.0
Brick & Mortar Ventures,79,13.0,US,105.0
Max Ventures,93,15.0,US,123.0
Brand Foundry Ventures,85,6.0,US,97.0
Renegade Partners,31,1.0,US,33.0
Recursive Ventures,47,10.0,US,67.0
Poseidon Asset Management,43,7.0,US,57.0
Volt Capital,44,,US,
Flying Fish Partners,59,4.0,US,67.0
Maveron,303,76.0,US,455.0
Anorak Ventures,96,7.0,US,110.0
Acequia Capital (AceCap),470,53.0,US,576.0
Solana Ventures,90,2.0,US,94.0
Mango Capital,89,9.0,US,107.0
Haystack,205,37.0,US,279.0
Collab+Currency,81,2.0,US,85.0
SVG Ventures,215,10.0,US,235.0
The House Fund,92,14.0,US,120.0
Alta Partners,276,86.0,US,448.0
Walden International,288,64.0,US,416.0
Alpha Edison,102,9.0,US,120.0
Hypersphere Ventures,91,1.0,US,93.0
Commerce Ventures,190,19.0,US,228.0
FinSight Ventures,52,14.0,US,80.0
Wave Digital Assets,90,3.0,US,96.0
Waterfall Asset Management,31,6.0,US,43.0
Liquid 2 Ventures,912,75.0,US,1062.0
Grotech Ventures,207,51.0,US,309.0
Silverton Partners,203,38.0,US,279.0
Torch Capital,78,4.0,US,86.0
Bowery Capital,95,15.0,US,125.0
I2BF Global Ventures,128,13.0,US,154.0
VU Venture Partners,78,3.0,US,84.0
Shasta Ventures,429,95.0,US,619.0
.406 Ventures,197,34.0,US,265.0
Addition,122,8.0,US,138.0
Costanoa Ventures,205,23.0,US,251.0
Playground Global,116,16.0,US,148.0
MANTIS Venture Capital,78,5.0,US,88.0
ANIMO Ventures,85,2.0,US,89.0
Foundation Capital,753,176.0,US,1105.0
EnerTech Capital,76,20.0,US,116.0
Sozo Ventures,61,11.0,US,83.0
Climate Capital,95,,US,
Signal Peak Ventures,80,17.0,US,114.0
Green Visor Capital,58,11.0,US,80.0
FINTOP Capital,62,10.0,US,82.0
Asymmetric Capital Partners,49,3.0,US,55.0
Plus Capital,41,10.0,US,61.0
Operator Partners,154,11.0,US,176.0
J-Ventures,53,6.0,US,65.0
Pillar VC,119,13.0,US,145.0
Omega Funds,142,66.0,US,274.0
Thayer Ventures,59,8.0,US,75.0
Blizzard Fund,56,2.0,US,60.0
Florida Opportunity Fund,66,9.0,US,84.0
Translink Capital,161,30.0,US,221.0
SE Ventures,39,4.0,US,47.0
DHVC,204,36.0,US,276.0
Toba Capital,125,29.0,US,183.0
Sputnik ATX,117,2.0,US,121.0
Trinity Ventures,471,149.0,US,769.0
EPIC Ventures,200,43.0,US,286.0
TRAC,80,5.0,US,90.0
KB Partners,68,11.0,US,90.0
Album VC,108,16.0,US,140.0
Firebolt Ventures,80,11.0,US,102.0
Endeavor Catalyst,355,44.0,US,443.0
Slauson & Co.,32,2.0,US,36.0
Trident Capital,217,78.0,US,373.0
Revelation Partners,48,11.0,US,70.0
Great Oaks Venture Capital,474,111.0,US,696.0
Bold Capital Partners,106,5.0,US,116.0
CMS Holdings,144,2.0,US,148.0
Raine Ventures,84,16.0,US,116.0
ATX Venture Partners,107,9.0,US,125.0
Bolt,107,15.0,US,137.0
Primetime Partners,38,,US,
(ERA) Entrepreneurs Roundtable Accelerator,395,35.0,US,465.0
Tribeca Venture Partners,127,17.0,US,161.0
Third Sphere,135,10.0,US,155.0
Trajectory Ventures,113,8.0,US,129.0
Second Avenue Partners,55,7.0,US,69.0
Augment Ventures,40,5.0,US,50.0
VITALIZE Venture Capital,58,4.0,US,66.0
DFJ Growth,140,35.0,US,210.0
Ignition Partners,315,94.0,US,503.0
First Star Ventures,53,9.0,US,71.0
J Ventures,45,5.0,US,55.0
Raptor Group,73,7.0,US,87.0
Fifty Years,148,6.0,US,160.0
Arsenal Growth Equity,44,14.0,US,72.0
SOFTBANK Latin America Ventures,54,6.0,US,66.0
JFF Ventures,31,1.0,US,33.0
DCM Ventures,643,138.0,US,919.0
Moderne Ventures,104,25.0,US,154.0
XRC Ventures,164,10.0,US,184.0
The Westly Group,101,23.0,US,147.0
Advancit Capital,162,40.0,US,242.0
Red Swan Ventures,88,37.0,US,162.0
The Blue Venture Fund,99,22.0,US,143.0
The Venture Collective,45,1.0,US,47.0
BAM Ventures,157,37.0,US,231.0
Serena Ventures,68,8.0,US,84.0
Tudor Investments,48,16.0,US,80.0
Artis Ventures (AV),127,30.0,US,187.0
Rho Capital Partners,115,43.0,US,201.0
Rhapsody Venture Partners,40,,US,
AME Cloud Ventures,309,80.0,US,469.0
Learn Capital,164,30.0,US,224.0
WiL (World Innovation Lab),155,21.0,US,197.0
Globevestor,31,4.0,US,39.0
Canaan Partners,799,167.0,US,1133.0
Xplorer Capital,39,10.0,US,59.0
Future Ventures,49,4.0,US,57.0
Nvidia Inception,37,1.0,US,39.0
